user_id,name,email,password,zipcode
1,emartin0,jhoward0@photobucket.com,abc,10012
2,ncollins1,ggarza1@google.es,abc,94110
3,awalker2,edixon2@lycos.com,abc,97201
4,rwashington3,kmedina3@upenn.edu,abc,98101
5,jchapman4,rowens4@independent.co.uk,abc,94110
6,jhenderson5,rsullivan5@imdb.com,abc,97201
7,lhudson6,jedwards6@tinyurl.com,abc,97201
8,aray7,jjohnston7@xing.com,abc,98101
9,dford8,lcooper8@nps.gov,abc,94110
10,hhawkins9,cpeters9@google.com,abc,02109
11,pedwardsa,smitchella@trellian.com,abc,97201
12,jdixonb,tspencerb@csmonitor.com,abc,60290
13,tadamsc,ecampbellc@wiley.com,abc,60290
14,lcooperd,cbrooksd@nydailynews.com,abc,73301
15,aricee,msanderse@cmu.edu,abc,90020
16,charrisf,shansonf@example.com,abc,02109
17,bmccoyg,nwheelerg@ihg.com,abc,02109
18,lelliotth,bsnyderh@msu.edu,abc,10012
19,cfieldsi,eriverai@wiley.com,abc,94110
20,jstewartj,bsmithj@imgur.com,abc,90020
21,enicholsk,aramirezk@digg.com,abc,73301
22,aleel,jgrantl@1688.com,abc,10012
23,jgeorgem,pmontgomerym@cbsnews.com,abc,90020
24,dgonzalezn,smartinn@stumbleupon.com,abc,94110
25,kmatthewso,pharveyo@nps.gov,abc,90020
26,lpricep,aharrisonp@ning.com,abc,97201
27,jharveyq,lalexanderq@goodreads.com,abc,94110
28,pduncanr,dmarshallr@irs.gov,abc,02109
29,jcollinss,bhernandezs@adobe.com,abc,97201
30,bwilliamsont,lrussellt@webnode.com,abc,10012
31,jhartu,tmedinau@si.edu,abc,90020
32,khowellv,pdanielsv@state.gov,abc,94110
33,fwelchw,rallenw@friendfeed.com,abc,94110
34,mdiazx,jdanielsx@is.gd,abc,60290
35,dbarnesy,dgriffiny@biblegateway.com,abc,97201
36,jhartz,jnguyenz@guardian.co.uk,abc,02109
37,kburke10,ghoward10@army.mil,abc,98101
38,eburns11,amedina11@friendfeed.com,abc,98101
39,mgibson12,tfoster12@plala.or.jp,abc,73301
40,aortiz13,dphillips13@ebay.co.uk,abc,98101
41,jalexander14,dmyers14@theguardian.com,abc,73301
42,lcruz15,snichols15@dropbox.com,abc,73301
43,pfox16,cmorris16@addtoany.com,abc,73301
44,jhughes17,ccarpenter17@moonfruit.com,abc,10012
45,rlee18,mmccoy18@about.me,abc,60290
46,parnold19,jgarza19@plala.or.jp,abc,60290
47,pmiller1a,rgonzalez1a@comsenz.com,abc,90020
48,mfox1b,jstephens1b@dropbox.com,abc,10012
49,aweaver1c,nfox1c@ed.gov,abc,60290
50,ballen1d,mflores1d@macromedia.com,abc,02109
